STRUCTURE,STRUCTUREID,STRUCTUREFULLNAME,STRUCTURECOLOR,STRUCTUREREGION,STRUCTUREREGIONCOLOR,CLUSTER
PHyB-Vm,16277,mantle zone of PHyB-V,C9674E,Rest Forebrain,C86A39,2
PHyB-Vs,16282,superficial stratum of PHyB-V,C9674E,Rest Forebrain,C86A39,2
PTe,16283,paraterete nucleus,C9674E,Rest Forebrain,C86A39,2
PHyB-P,16285,perimammillary part of PHyB,B25B46,Rest Forebrain,C86A39,2
PHyB-Pm,16287,mantle zone of PHyB-P,C9674E,Rest Forebrain,C86A39,2
PHyB-Ps,16292,superficial stratum of PHyB-P,C9674E,Rest Forebrain,C86A39,2
LPRM,16293,lateral periretromammillary nucleus,C9674E,Rest Forebrain,C86A39,2
PHyB-M,16294,mammillary part of PHyB,B25B46,Rest Forebrain,C86A39,2
RMa,16295,retromammillary area,B25B46,Rest Forebrain,C86A39,2
RMav,16296,ventricular zone of RMa,B25B46,Rest Forebrain,C86A39,2
RMam,16297,mantle zone of RMa,C9674E,Rest Forebrain,C86A39,2
RMai,16301,intermediate stratum of RMa,C9674E,Rest Forebrain,C86A39,2
RML,16302,retromammillary area- lateral part,C9674E,Rest Forebrain,C86A39,2
PHyF,16306,floor of peduncular hypothalamus,AB6553,Rest Forebrain,C86A39,2
p3Bv,16354,ventricular zone of p3B,CCC383,Rest Forebrain,C86A39,2
p3Fv,16369,ventricular zone of p3F,8D885B,Rest Forebrain,C86A39,2
p2Bv,16488,ventricular zone of p2B,CCBE50,Rest Forebrain,C86A39,2
p1Bv,16625,ventricular zone of p1B,CCB71D,Rest Forebrain,C86A39,2
MiTg,16872,microcellular tegmental nucleus,F070FF,Cerebellum,EA37FF,2
r3BIs,17141,superficial stratum of r3BI,853BE6,Pons,9442FF,2
r3LPn,17142,r3 part of lateral pontine nuclei,853BE6,Pons,9442FF,2
r3BM,17143,medial part of r3B,7635CC,Pons,9442FF,2
r3BMv,17144,ventricular zone of r3BM,7635CC,Pons,9442FF,2
r3BMm,17145,mantle zone of r3BM,853BE6,Pons,9442FF,2
r3BMp,17146,periventricular stratum of r3BM,853BE6,Pons,9442FF,2
r3BMs,17153,superficial stratum of r3BM,853BE6,Pons,9442FF,2
r3MPn,17154,r3 part of medial pontine nuclei,853BE6,Pons,9442FF,2
r3F,17155,r3 floor plate,682EB3,Pons,9442FF,2
r3Fv,112892343,ventricular zone of r3F,613F93,Pons,9442FF,2
r3Fm,112892345,mantle zone of r3F,7635CC,Pons,9442FF,2
r3Fp,112892347,periventricular stratum of r3F,7635CC,Pons,9442FF,2
r3Fi,112892349,intermediate stratum of r3F,7635CC,Pons,9442FF,2
r3Fs,112892351,superficial stratum of r3F,7635CC,Pons,9442FF,2
r4BIs,17205,superficial stratum of r4BI,8E59E6,Pons,9442FF,2
r4LPn,17206,r4 part of lateral pontine nuclei,8E59E6,Pons,9442FF,2
r4BM,17207,medial part of r4B,7E4FCC,Pons,9442FF,2
r4BMv,17208,ventricular zone of r4BM,7E4FCC,Pons,9442FF,2
r4BMm,17209,mantle zone of r4BM,8E59E6,Pons,9442FF,2
r4BMp,17210,periventricular stratum of r4BM,8E59E6,Pons,9442FF,2
r4BMs,17217,superficial stratum of r4BM,8E59E6,Pons,9442FF,2
r4MPn,17218,r4 part of medial pontine nuclei,8E59E6,Pons,9442FF,2
r4F,17219,r4 floor plate,6F45B3,Pons,9442FF,2
r4Fv,112892353,ventricular zone of r4F,674998,Pons,9442FF,2
r4Fm,112892355,mantle zone of r4F,7E4FCC,Pons,9442FF,2
r4Fi,112892359,intermediate stratum of r4F,7E4FCC,Pons,9442FF,2
r4Fs,112892361,superficial stratum of r4F,7E4FCC,Pons,9442FF,2
 ,, , , , ,
H,16808,hindbrain,EA37FF,Rest Hindbrain,EA37FF,3
PPH,16809,prepontine hindbrain,EA37FF,Rest Hindbrain,EA37FF,3
is,16810,isthmus,EA37FF,Cerebellum,EA37FF,3
isA,16813,isthmic alar plate,EA37FF,Cerebellum,EA37FF,3
CbV,16814,cerebellar vermis,EA37FF,Cerebellum,EA37FF,3
CbVv,16817,ventricular zone of cerebellar vermis,EA37FF,Cerebellum,EA37FF,3
CbVm,16818,mantle zone of cerebellar vermis,F070FF,Cerebellum,EA37FF,3
CbVp,16819,periventricular stratum of cerebellar vermis,F070FF,Cerebellum,EA37FF,3
CbVWM,16820,white matter of cerebellar vermis,F070FF,Cerebellum,EA37FF,3
CbVi,16821,intermediate stratum of cerebellar vermis,F070FF,Cerebellum,EA37FF,3
CbVN,16822,cerebellar nuclei of CbV,F070FF,Cerebellum,EA37FF,3
Med,16823,medial (fastigial) cerebellar nucleus,F070FF,Cerebellum,EA37FF,3
MedM,16824,medial (main) part of Med,F070FF,Cerebellum,EA37FF,3
MedL,16825,lateral part of Med,F070FF,Cerebellum,EA37FF,3
MedDL,16826,dorsolateral part of Med,F070FF,Cerebellum,EA37FF,3
CbVs,16828,superficial stratum of cerebellar vermis,F070FF,Cerebellum,EA37FF,3
CbVCx,16829,cortex of cerebellar vermis,F070FF,Cerebellum,EA37FF,3
MolV,16840,molecular layer of CbVCx,F070FF,Cerebellum,EA37FF,3
PkV,16841,Purkinje cell layer of CbVCx,D332E6,Cerebellum,EA37FF,3
IGrV,16842,internal granular layer of CbVCx,BB2CCC,Cerebellum,EA37FF,3
r1,16915,rhombomere 1,EE5DFF,Rest Hindbrain,EA37FF,3
r1R,16916,r1 roof plate,F5B5FF,Rest Hindbrain,EA37FF,3
r1A,16919,r1 alar plate,EE5DFF,Rest Hindbrain,EA37FF,3
CbH,16920,cerebellar hemisphere,F284FF,Rest Hindbrain,EA37FF,3
CbHv,16922,ventricular zone of CbH,EE5DFF,Rest Hindbrain,EA37FF,3
CbHm,16924,mantle zone of CbH,F284FF,Rest Hindbrain,EA37FF,3
CbHp,16925,periventricular stratum of CbH,F284FF,Rest Hindbrain,EA37FF,3
CbHWM,16926,cerebellar white matter,F284FF,Rest Hindbrain,EA37FF,3
CbHi,16927,intermediate stratum of CbH,F284FF,Rest Hindbrain,EA37FF,3
CbHN,16928,cerebellar nuclei of CbH,F284FF,Rest Hindbrain,EA37FF,3
Int,16929,intermediate (interpositus) cerebellar nucleus,F284FF,Rest Hindbrain,EA37FF,3
IntA,16930,anterior part of Int,F284FF,Rest Hindbrain,EA37FF,3
IntDL,16931,dorsolateral part of Int,F284FF,Rest Hindbrain,EA37FF,3
IntP,16932,posterior part of Int,F284FF,Rest Hindbrain,EA37FF,3
Lat,16933,lateral (dentate) cerebellar nucleus,F284FF,Rest Hindbrain,EA37FF,3
LatDL,16934,dorsolateral part of Lat,F284FF,Rest Hindbrain,EA37FF,3
LatPC,16935,parvicellular part of Lat,F284FF,Rest Hindbrain,EA37FF,3
r1VeCb,16936,r1 part of vestibulocerebellar nucleus,F284FF,Rest Hindbrain,EA37FF,3
CbHs,16938,superficial stratum of cerebellar hemisphere,F284FF,Rest Hindbrain,EA37FF,3
CbHCx,16939,cortex of cerebellar hemisphere,F284FF,Rest Hindbrain,EA37FF,3
MolH,16947,molecular layer of CbHCx,F284FF,Rest Hindbrain,EA37FF,3
PkH,16948,Purkinje cell layer of CbHCx,D332E6,Rest Hindbrain,EA37FF,3
IGrH,16949,internal granular layer of CbHCx,BB2CCC,Rest Hindbrain,EA37FF,3
r1Ve,16950,r1 part of vestibular sensory column,EE5DFF,Rest Hindbrain,EA37FF,3
r1Vev,16951,ventricular zone of r1Ve,EE5DFF,Rest Hindbrain,EA37FF,3
r1Vem,16952,mantle zone of r1Ve,F284FF,Rest Hindbrain,EA37FF,3
r1Vep,111220624,periventricular stratum of r1Ve,F284FF,Rest Hindbrain,EA37FF,3
r1Vei,111220626,intermediate stratum of r1Ve,F284FF,Rest Hindbrain,EA37FF,3
r1SuVe,16953,r1 part of superior vestibular nucleus,F284FF,Rest Hindbrain,EA37FF,3
r1Ves,111220628,superficial stratum of r1Ve,F284FF,Rest Hindbrain,EA37FF,3
r2Co,17026,r2 part of cochlear sensory column,EE80FF,Rest Hindbrain,EA37FF,3
r2Cov,17027,ventricular zone of r2Co,EE80FF,Rest Hindbrain,EA37FF,3
r2Com,17028,mantle zone of r2Co,F29EFF,Rest Hindbrain,EA37FF,3
r2Cop,111220650,periventricular stratum of r2Co,F29EFF,Rest Hindbrain,EA37FF,3
r2DC,17029,r2 part of dorsal cochlear nucleus,F29EFF,Rest Hindbrain,EA37FF,3
r2Coi,111220652,intermediate stratum of r2Co,F29EFF,Rest Hindbrain,EA37FF,3
r2Cos,111220654,superficial stratum of r2Co,F29EFF,Rest Hindbrain,EA37FF,3
r2AVC,17030,r2 part of anteroventral cochlear nucleus,F29EFF,Rest Hindbrain,EA37FF,3
r3Co,17096,r3 part of cochlear sensory column,9442FF,Pons,9442FF,3
r3Cov,17097,ventricular zone of r3Co,9442FF,Pons,9442FF,3
r3Com,17098,mantle zone of r3Co,A35DFF,Pons,9442FF,3
r3Cop,111220682,periventricular stratum of r3Co,A35DFF,Pons,9442FF,3
r3DC,17099,r3 part of dorsal cochlear nucleus,A35DFF,Pons,9442FF,3
r3Coi,111220684,intermediate stratum of r3Co,A35DFF,Pons,9442FF,3
r3Cos,111220686,superficial stratum of r3Co,A35DFF,Pons,9442FF,3
r3AVC,17100,r3 part of anteroventral cochlear nucleus,A35DFF,Pons,9442FF,3
r4R,17157,r4 roof plate,BA90FF,Pons,9442FF,3
r4Co,17159,r4 part of cochlear sensory column,9E63FF,Pons,9442FF,3
r4Cov,17160,ventricular zone of r4Co,9E63FF,Pons,9442FF,3
r4Com,17161,mantle zone of r4Co,AC79FF,Pons,9442FF,3
r4Cop,111220714,periventricular stratum of r4Co,AC79FF,Pons,9442FF,3
r4DC,17162,r4 part of dorsal cochlear nucleus,AC79FF,Pons,9442FF,3
r4Coi,111220716,intermediate stratum of r4Co,AC79FF,Pons,9442FF,3
r4Cos,111220718,superficial stratum of r4Co,AC79FF,Pons,9442FF,3
r4PVC,17163,r4 part of posteroventral cochlear nucleus,AC79FF,Pons,9442FF,3
r5Co,17224,r5 part of the cochlear column,37A7FF,Rest Hindbrain,EA37FF,3
r5Cov,17225,ventricular zone of r5Co,37A7FF,Rest Hindbrain,EA37FF,3
r5Com,17226,mantle zone of r5Co,5DB8FF,Rest Hindbrain,EA37FF,3
r5Cop,111220746,periventricular stratum of r5Co,5DB8FF,Rest Hindbrain,EA37FF,3
r5DC,17227,r5 part of dorsal cochlear nucleus,5DB8FF,Rest Hindbrain,EA37FF,3
r5Coi,111220748,intermediate stratum of r5Co,5DB8FF,Rest Hindbrain,EA37FF,3
r5Cos,111220750,superficial stratum of r5Co,5DB8FF,Rest Hindbrain,EA37FF,3
r5PVC,17228,r5 part of posteroventral cochlear nucleus,5DB8FF,Rest Hindbrain,EA37FF,3
r6Co,17293,r6 part of the cochlear column,5DB8FF,Rest Hindbrain,EA37FF,3
r6Cov,17294,ventricular zone of r6Co,5DB8FF,Rest Hindbrain,EA37FF,3
r6Com,17295,mantle zone of r6Co,7CC6FF,Rest Hindbrain,EA37FF,3
r6Cop,111220778,periventricular stratum of r6Co,7CC6FF,Rest Hindbrain,EA37FF,3
r6DC,17296,r6 part of dorsal cochlear nucleus,7CC6FF,Rest Hindbrain,EA37FF,3
r6Coi,111220780,intermediate stratum of r6Co,7CC6FF,Rest Hindbrain,EA37FF,3
r6Cos,111220782,superficial stratum of r6Co,7CC6FF,Rest Hindbrain,EA37FF,3
r6Ves,111220788,superficial stratum of r6Ve,7CC6FF,Rest Hindbrain,EA37FF,3
r6SpVe,17301,r6 part of spinal vestibular nucleus,7CC6FF,Rest Hindbrain,EA37FF,3
r7Co,17356,r7 part of cochlear column,12D9B9,Rest Hindbrain,EA37FF,3
r7Com,17358,mantle zone of r7Co,56E4CD,Rest Hindbrain,EA37FF,3
r7Cop,111220810,periventricular stratum of r7Co,56E4CD,Rest Hindbrain,EA37FF,3
r7DC,17359,r7 part of the dorsal cochlear nucleus,56E4CD,Rest Hindbrain,EA37FF,3
r7Cos,111220814,superficial stratum of r7Co,56E4CD,Rest Hindbrain,EA37FF,3
r7PVC,17360,r7 part of the posteroventral cochlear nucleus,56E4CD,Rest Hindbrain,EA37FF,3
r8Vep,111220842,periventricular stratum of r8Ve,79E2CE,Rest Hindbrain,EA37FF,3
r8MVePC,17423,r8 part of parvocellular medial vestibular nucleus,79E2CE,Rest Hindbrain,EA37FF,3
r9Ve,17479,r9 part of the vestibular column,75D9BF,Rest Hindbrain,EA37FF,3
r9Vev,17480,ventricular zone of r9Ve,75D9BF,Rest Hindbrain,EA37FF,3
r9Vem,17481,mantle zone of r9Ve,96E2CE,Rest Hindbrain,EA37FF,3
r9Vep,111220868,periventricular stratum of r9Ve,96E2CE,Rest Hindbrain,EA37FF,3
r9MVePC,17483,r9 part of parvocellular medial vestibular nucleus,96E2CE,Rest Hindbrain,EA37FF,3
r9Vei,111220870,intermediate stratum of r9Ve,96E2CE,Rest Hindbrain,EA37FF,3
r9SpVe,17482,r9 part of spinal vestibular nucleus,96E2CE,Rest Hindbrain,EA37FF,3
r9Ves,111220872,superficial stratum of r9Ve,96E2CE,Rest Hindbrain,EA37FF,3
r9ECu,17484,r9 part of external cuneate nucleus,96E2CE,Rest Hindbrain,EA37FF,3
r10Ve,17541,r10 part of the vestibular column,91D9BF,Rest Hindbrain,EA37FF,3
r10Vev,17542,ventricular zone of r10Ve,91D9BF,Rest Hindbrain,EA37FF,3
r10Vem,17543,mantle zone of r10Ve,A6E0CB,Rest Hindbrain,EA37FF,3
r10Vep,111220894,periventricular stratum of r10Ve,A6E0CB,Rest Hindbrain,EA37FF,3
r10Vei,111220896,intermediate stratum of r10Ve,A6E0CB,Rest Hindbrain,EA37FF,3
r10SpVe,17544,r10 part of spinal vestibular nucleus,A6E0CB,Rest Hindbrain,EA37FF,3
r10Ves,111220898,superficial stratum of r10Ve,A6E0CB,Rest Hindbrain,EA37FF,3
r10ECu,17546,r10 part of external cuneate nucleus,A6E0CB,Rest Hindbrain,EA37FF,3
r10Trs,111220904,superficial stratum of r10Tr,A6E0CB,Rest Hindbrain,EA37FF,3
r10Sp5C,17550,r10 part of spinal trigeminal nucleus- caudal part,A6E0CB,Rest Hindbrain,EA37FF,3
r10Gr,17553,r10 part of nucleus gracilis,A6E0CB,Rest Hindbrain,EA37FF,3
r11,17596,rhombomere 11,BFD9BF,Rest Hindbrain,EA37FF,3
r11A,17598,r11 alar plate,BFD9BF,Rest Hindbrain,EA37FF,3
r11Ve,17599,r11 part of the vestibular column,BFD9BF,Rest Hindbrain,EA37FF,3
r11Vem,17601,mantle zone of r11Ve,BBE0CB,Rest Hindbrain,EA37FF,3
r11Vei,111220922,intermediate stratum of r11Ve,BBE0CB,Rest Hindbrain,EA37FF,3
r11Ves,111220924,superficial stratum of r11Ve,BBE0CB,Rest Hindbrain,EA37FF,3
r11ECu,17602,r11 part of the external uneate nucleus,BBE0CB,Rest Hindbrain,EA37FF,3
r11Tr,17603,r11 part of the trigeminal column,BFD9BF,Rest Hindbrain,EA37FF,3
r11Trm,17605,mantle zone of r11Tr,BBE0CB,Rest Hindbrain,EA37FF,3
r11Trp,111220926,periventricular stratum of r11Tr,BBE0CB,Rest Hindbrain,EA37FF,3
r11Sol,17608,r11 part of solitary complex,BBE0CB,Rest Hindbrain,EA37FF,3
r11Tri,111220928,intermediate stratum of r11Tr,BBE0CB,Rest Hindbrain,EA37FF,3
r11-5Tr,17607,r11 part of trigeminal transition zone,BBE0CB,Rest Hindbrain,EA37FF,3
r11Trs,111220930,superficial stratum of r11Tr,BBE0CB,Rest Hindbrain,EA37FF,3
r11Sp5C,17606,r11 part of spinal trigeminal nucleus- caudal part,BBE0CB,Rest Hindbrain,EA37FF,3
r11Gr,17609,r11 part of nucleus gracilis,BBE0CB,Rest Hindbrain,EA37FF,3
 ,, , , , ,
m1R,16652,roof plate of m1,89D889,Rest Midbrain,17B317,4
m1Rv,16653,ventricular zone of m1R,4EC54E,Rest Midbrain,17B317,4
m1Rm,16654,mantle zone of m1R,89D889,Rest Midbrain,17B317,4
m1Rp,114403703,periventricular stratum of m1R,89D889,Rest Midbrain,17B317,4
m1Ri,114403707,intermediate stratum of m1R,89D889,Rest Midbrain,17B317,4
m1Rs,114403711,superficial stratum of m1R,89D889,Rest Midbrain,17B317,4
BTGC,16655,bed of the tectal gray commissure,89D889,Rest Midbrain,17B317,4
BTC,16656,bed of the tectal commissure,89D889,Rest Midbrain,17B317,4
BICC,16657,bed of the intercollicular commissure,89D889,Rest Midbrain,17B317,4
m1AD,16659,dorsal part of m1A,17B317,Rest Midbrain,17B317,4
m1ADv,16660,ventricular zone of m1AD,17B317,Rest Midbrain,17B317,4
m1ADm,16661,mantle zone of m1AD,4EC54E,Rest Midbrain,17B317,4
m1ADp,16662,periventricular stratum of m1AD,4EC54E,Rest Midbrain,17B317,4
m1AD-PAG,16663,m1AD (DM) part of periaqueductal gray,4EC54E,Rest Midbrain,17B317,4
m1ADi,16664,intermediate stratum of m1AD,4EC54E,Rest Midbrain,17B317,4
m1VPaC,16665,ventral paracommissural tectal nucleus- m1 part,4EC54E,Rest Midbrain,17B317,4
m1ADs,16666,superficial stratum of m1AD,4EC54E,Rest Midbrain,17B317,4
m1DPaC,16667,dorsal paracommissural tectal nucleus- m1 part,4EC54E,Rest Midbrain,17B317,4
SCp,16681,periventricular stratum of SC,4EC54E,Rest Midbrain,17B317,4
SCDL-PAG,16682,dorsolateral SC part of the periaqueductal gray,4EC54E,Rest Midbrain,17B317,4
DpWh,16683,deep white layer of SC,4EC54E,Rest Midbrain,17B317,4
DpG,16685,deep gray layer of SC,4EC54E,Rest Midbrain,17B317,4
ICp,16695,periventricular stratum of IC,4EC54E,Rest Midbrain,17B317,4
ICDL-PAG,16696,dorsolateral IC periaqueductal gray,4EC54E,Rest Midbrain,17B317,4
ICIC,16700,internal cortical nucleus of inferior colliculus,4EC54E,Rest Midbrain,17B317,4
m1AL,16703,lateral part of alar m1,17B317,Rest Midbrain,17B317,4
m1ALm,16705,mantle zone of m1AL,4EC54E,Rest Midbrain,17B317,4
m1ALp,16706,periventricular stratum of m1AL,4EC54E,Rest Midbrain,17B317,4
TGL-PAG,16707,lateral TG part of the periaqueductal gray,4EC54E,Rest Midbrain,17B317,4
SCL-PAG,16708,lateral SC part of the periaqueductal gray,4EC54E,Rest Midbrain,17B317,4
ICL-PAG,16709,lateral IC periaqueductal gray,4EC54E,Rest Midbrain,17B317,4
m1ALi,16710,intermediate stratum of m1AL,4EC54E,Rest Midbrain,17B317,4
ICBR,16711,nucleus of the inferior collicular brachium- rostral part,4EC54E,Rest Midbrain,17B317,4
ICBC,16712,nucleus of the inferior collicular brachium- caudal part,4EC54E,Rest Midbrain,17B317,4
m1ALs,16713,superficial stratum of m1AL,4EC54E,Rest Midbrain,17B317,4
SubBR,16714,subbrachial nucleus- rostral part,4EC54E,Rest Midbrain,17B317,4
SubBC,16715,subbrachial nucleus- caudal part,4EC54E,Rest Midbrain,17B317,4
r2R,17024,r2 roof plate,F3A4FF,Rest Hindbrain,EA37FF,4
SpC,17651,spinal cord,EBE3D5,Spinal Cord,EBE3D5,4
SpR,17652,SpC roof plate,EBE3D5,Spinal Cord,EBE3D5,4
SpA,17653,SpC alar plate,EBE3D5,Spinal Cord,EBE3D5,4
SpAM,17654,medial (cornucommissural) part of the spinal alar plate,EBE3D5,Spinal Cord,EBE3D5,4
SpAMm,17656,mantle zone of the SpAM,EBE3D5,Spinal Cord,EBE3D5,4
SpAMp,17657,periventricular stratum of the SpAM,EBE3D5,Spinal Cord,EBE3D5,4
AM10Sp,17658,alar medial part of Rexed's layer 10,EBE3D5,Spinal Cord,EBE3D5,4
SpAMi,17659,intermediate stratum of the SpAM,EBE3D5,Spinal Cord,EBE3D5,4
4SpCC,17660,cornucommissural part of Rexed's layer 4,EBE3D5,Spinal Cord,EBE3D5,4
IB,17661,internal basilar (cervical) nucleus,EBE3D5,Spinal Cord,EBE3D5,4
SpAL,17666,lateral (dorsal horn) part of the spinal alar plate,EBE3D5,Spinal Cord,EBE3D5,4
SpALv,17667,ventricular zone of the SpAL,EBE3D5,Spinal Cord,EBE3D5,4
SpALm,17669,mantle zone of the SpAL,EBE3D5,Spinal Cord,EBE3D5,4
SpALi,17671,intermediate stratum of the SpAL,EBE3D5,Spinal Cord,EBE3D5,4
SpALs,17674,superficial stratum of the SpAL,EBE3D5,Spinal Cord,EBE3D5,4
SpAV,17677,ventral (liminal) part of the spinal alar plate,EBE3D5,Spinal Cord,EBE3D5,4
SpAVm,17679,mantle zone of the SpAV,EBE3D5,Spinal Cord,EBE3D5,4
SpAVi,17682,intermediate stratum of the SpAV,EBE3D5,Spinal Cord,EBE3D5,4
SpAVs,17689,superficial stratum of the SpAV,EBE3D5,Spinal Cord,EBE3D5,4
SpB,17692,SpC basal plate (anterior horn),D4CCC0,Spinal Cord,EBE3D5,4
SpBL,17693,lateral part of SpB,D4CCC0,Spinal Cord,EBE3D5,4
SpBLv,17694,ventricular zone of SpBL,D4CCC0,Spinal Cord,EBE3D5,4
SpBLm,17695,mantle zone of SpBL,D4CCC0,Spinal Cord,EBE3D5,4
SpBLp,17696,periventricular stratum of SpBL,D4CCC0,Spinal Cord,EBE3D5,4
BL10Sp,17697,basal lateral part of Rexed's layer 10,D4CCC0,Spinal Cord,EBE3D5,4
SpBLi,17698,intermediate stratum of SpBL,D4CCC0,Spinal Cord,EBE3D5,4
SpBLs,17709,superficial stratum of SpBL,D4CCC0,Spinal Cord,EBE3D5,4
SpBI,17710,intermediate part of SpB,D4CCC0,Spinal Cord,EBE3D5,4
SpBIv,17711,ventricular zone of SpBI,D4CCC0,Spinal Cord,EBE3D5,4
SpBIm,17712,mantle zone of SpBI,D4CCC0,Spinal Cord,EBE3D5,4
SpBIi,17715,intermediate stratum of SpBI,D4CCC0,Spinal Cord,EBE3D5,4
SpBIs,17724,superficial stratum of SpBI,D4CCC0,Spinal Cord,EBE3D5,4
SpBM,17725,medial part of SpB,D4CCC0,Spinal Cord,EBE3D5,4
SpBMv,17726,ventricular zone of SpBM,D4CCC0,Spinal Cord,EBE3D5,4
SpBMm,17727,mantle zone of SpBM,D4CCC0,Spinal Cord,EBE3D5,4
SpBMi,17730,intermediate stratum of SpBM,D4CCC0,Spinal Cord,EBE3D5,4
SpBMs,17733,superficial stratum of SpBM,D4CCC0,Spinal Cord,EBE3D5,4
SpF,17734,SpC floor plate,D4CCC0,Spinal Cord,EBE3D5,4
SpFm,112892441,mantle zone of SpF,D4CCC0,Spinal Cord,EBE3D5,4
SpFs,112892447,superficial stratum of SpF,D4CCC0,Spinal Cord,EBE3D5,4
 ,, , , , ,
NP,15565,neural plate,C86A39,Rest Forebrain,C86A39,5
F,15566,forebrain,C86A39,Rest Forebrain,C86A39,5
SP,15567,secondary prosencephalon,A84D10,Rest Forebrain,C86A39,5
CSP,15738,caudal secondary prosencephalon,ED985C,Rest Forebrain,C86A39,5
Tel,15739,telencephalic vesicle,ED985C,Rest Forebrain,C86A39,5
TelR,15740,roof plate of evaginated telencephalic vesicle,FAB17C,Rest Forebrain,C86A39,5
CSCom,15741,caudal septocommissural area,FAB17C,Rest Forebrain,C86A39,5
CSComv,15742,ventricular zone of CSCom,ED985C,Rest Forebrain,C86A39,5
CSComm,15744,mantle zone of CSCom,FAB17C,Rest Forebrain,C86A39,5
CSComs,15748,superficial stratum of CSCom,FAB17C,Rest Forebrain,C86A39,5
TelA,15750,alar plate of evaginated telencephalic vesicle,ED985C,Rest Forebrain,C86A39,5
Pall,15903,pallium,D61837,Rest Forebrain,C86A39,5
VPall,15904,ventral pallium,DA4335,Rest Forebrain,C86A39,5
OB,15905,olfactory bulb- principal part,DA4335,Rest Forebrain,C86A39,5
OBv,15906,ventricular zone of OB,DA4335,Rest Forebrain,C86A39,5
OBm,15907,mantle zone of OB,DE5548,Rest Forebrain,C86A39,5
OBp,15908,periventricular stratum of OB,DE5548,Rest Forebrain,C86A39,5
OB-Gr,15909,OB granular layer,B9392D,Rest Forebrain,C86A39,5
OB-Ipl,15910,OB inner plexiform layer,DE5548,Rest Forebrain,C86A39,5
OBi,15911,intermediate stratum of OB,DE5548,Rest Forebrain,C86A39,5
OB-Mtr,15912,OB mitral cell layer,C43C30,Rest Forebrain,C86A39,5
OB-Opl,15913,OB outer plexiform layer,DE5548,Rest Forebrain,C86A39,5
OBs,15914,superficial stratum of OB,DE5548,Rest Forebrain,C86A39,5
OB-Glom,15915,OB glomerular layer,DA4335,Rest Forebrain,C86A39,5
OB-OF,15916,OB olfactory fiber layer,DE5548,Rest Forebrain,C86A39,5
AOV,15917,anterior olfactory area- ventral part,DA4335,Rest Forebrain,C86A39,5
AOVv,15918,ventricular zone of AOV,DA4335,Rest Forebrain,C86A39,5
AOVm,15919,mantle zone of AOV,DE5548,Rest Forebrain,C86A39,5
AOVp,15920,periventricular stratum of AOV,DE5548,Rest Forebrain,C86A39,5
AOVi,15921,intermediate stratum of AOV,DE5548,Rest Forebrain,C86A39,5
AOVs,15922,superficial stratum of AOV,DE5548,Rest Forebrain,C86A39,5
AOV1,15923,layer 1 of AOV cortex,DE5548,Rest Forebrain,C86A39,5
AOV2,15924,layer 2 of AOV cortex,C43C30,Rest Forebrain,C86A39,5
AOV3,15925,layer 3 of AOV cortex,DE5548,Rest Forebrain,C86A39,5
AOVE,15926,external part of AOV,DE5548,Rest Forebrain,C86A39,5
Nv,15927,navicular nucleus,DE5548,Rest Forebrain,C86A39,5
VPrP,15928,ventropallial prepiriform area,DA4335,Rest Forebrain,C86A39,5
VPrPv,15929,ventricular zone of VPrP,DA4335,Rest Forebrain,C86A39,5
VPrPm,15930,mantle zone of VPrP,DE5548,Rest Forebrain,C86A39,5
VPrPp,15931,periventricular stratum of VPrP,DE5548,Rest Forebrain,C86A39,5
VPrPi,15932,intermediate stratum of VPrP,DE5548,Rest Forebrain,C86A39,5
BEC,15933,bed nucleus of the external capsule,DE5548,Rest Forebrain,C86A39,5
DEn,15934,dorsal endopiriform nucleus,DE5548,Rest Forebrain,C86A39,5
VEn,15935,ventral endopiriform nucleus,DE5548,Rest Forebrain,C86A39,5
VPrPs,15936,superficial stratum of VPrP,DE5548,Rest Forebrain,C86A39,5
VPrP1,15937,layer 1 of VPrP cortex,DE5548,Rest Forebrain,C86A39,5
VPrP2,15938,layer 2 of VPrP cortex,C43C30,Rest Forebrain,C86A39,5
VPrP3,15939,layer 3 of VPrP cortex,DE5548,Rest Forebrain,C86A39,5
VAP,15940,ventropallial amygdalopiriform area,DA4335,Rest Forebrain,C86A39,5
VAPv,15941,ventricular zone of the VAP,DA4335,Rest Forebrain,C86A39,5
VAPm,15942,mantle zone of VAP,DE5548,Rest Forebrain,C86A39,5
VAPp,15943,periventricular stratum of the VAP,DE5548,Rest Forebrain,C86A39,5
La,15944,lateral amygdaloid nucleus,DE5548,Rest Forebrain,C86A39,5
AHi,15945,amygdalohippocampal area,DE5548,Rest Forebrain,C86A39,5
VAPi,15946,intermediate stratum of the VAP,DE5548,Rest Forebrain,C86A39,5
BMA,15947,basomedial amygdaloid nucleus- anterior part,DE5548,Rest Forebrain,C86A39,5
BMP,15948,basomedial amygdaloid nucleus- posterior part,DE5548,Rest Forebrain,C86A39,5
VAPs,15949,superficial stratum of the VAP,DE5548,Rest Forebrain,C86A39,5
PMCo,15950,posteromedial cortical amygdaloid area,DE5548,Rest Forebrain,C86A39,5
LOT,15951,nucleus of the lateral olfactory tract,DE5548,Rest Forebrain,C86A39,5
LOT3,15952,layer 3 of LOT,DE5548,Rest Forebrain,C86A39,5
LOT2,15953,layer 2 of LOT,DE5548,Rest Forebrain,C86A39,5
