STRUCTURE,STRUCTUREID,STRUCTUREFULLNAME,STRUCTURECOLOR,STRUCTUREREGION,STRUCTUREREGIONCOLOR,CLUSTER
r9BLv,17502,ventricular zone of r9BL,5EAE99,Rest Hindbrain,EA37FF,2
r9BLm,17503,mantle zone of r9BL,69C3AC,Rest Hindbrain,EA37FF,2
r9BLp,17504,periventricular stratum of r9BL,69C3AC,Rest Hindbrain,EA37FF,2
r9BLIZ,17505,r9 part of the basolateral intermediate zone,69C3AC,Rest Hindbrain,EA37FF,2
r9BLi,17506,intermediate stratum of r9BL,69C3AC,Rest Hindbrain,EA37FF,2
r9BLRt,17507,r9 part of the basolateral reticular formation,69C3AC,Rest Hindbrain,EA37FF,2
r9BLs,17508,superficial stratum of r9BL,69C3AC,Rest Hindbrain,EA37FF,2
r9LRt,17509,r9 part of the lateral reticular nucleus,69C3AC,Rest Hindbrain,EA37FF,2
r9LRtPC,17510,parvocellular part of the r9LRt,69C3AC,Rest Hindbrain,EA37FF,2
r9Li,17511,r9 part of linear nucleus,69C3AC,Rest Hindbrain,EA37FF,2
r9BI,17512,intermediate part of r9B,5EAE99,Rest Hindbrain,EA37FF,2
r9BIv,17513,ventricular zone of r9BI,5EAE99,Rest Hindbrain,EA37FF,2
r9BIm,17514,mantle zone of r9BI,69C3AC,Rest Hindbrain,EA37FF,2
r9BIp,17515,periventricular stratum of r9BI,69C3AC,Rest Hindbrain,EA37FF,2
r9BIIZ,17516,r9 part of basointermediate intermediate zone,69C3AC,Rest Hindbrain,EA37FF,2
r9IS,17517,r9 part of nucleus intercalatus Staderini,69C3AC,Rest Hindbrain,EA37FF,2
r9BIi,17518,intermediate stratum of r9BI,69C3AC,Rest Hindbrain,EA37FF,2
r9BIRt,17519,r9 part of basointermediate reticular formation,69C3AC,Rest Hindbrain,EA37FF,2
r9BIs,17520,superficial stratum of r9BI,69C3AC,Rest Hindbrain,EA37FF,2
r9PGi,17521,r9 part of paragigantocellular nucleus,69C3AC,Rest Hindbrain,EA37FF,2
r9RVM,17522,r9 part of rostral ventromedial reticular area,69C3AC,Rest Hindbrain,EA37FF,2
r9BM,17523,medial part of r9B,5EAE99,Rest Hindbrain,EA37FF,2
r9BMv,17524,ventricular zone of r9BM,5EAE99,Rest Hindbrain,EA37FF,2
r9BMm,17525,mantle zone of r9BM,69C3AC,Rest Hindbrain,EA37FF,2
r9BMp,17526,periventricular stratum of r9BM,69C3AC,Rest Hindbrain,EA37FF,2
r9-12M,17527,r9 portion of the hypoglossal motor nucleus,69C3AC,Rest Hindbrain,EA37FF,2
r9Ro,17528,r9 part of nucleus of Roller,69C3AC,Rest Hindbrain,EA37FF,2
r9BMi,17529,intermediate stratum of r9BM,69C3AC,Rest Hindbrain,EA37FF,2
r9-RO,17530,r9 raphe obscurus cell population,69C3AC,Rest Hindbrain,EA37FF,2
r9BMRt,17531,r9 part of basomedial reticular formation,69C3AC,Rest Hindbrain,EA37FF,2
r9Gi,17532,r9 part of gigantocellular reticular area,69C3AC,Rest Hindbrain,EA37FF,2
r9GiV,17533,r9 part of ventral gigangocellular reticular area,69C3AC,Rest Hindbrain,EA37FF,2
r9BMs,17534,superficial stratum of r9BM,69C3AC,Rest Hindbrain,EA37FF,2
r9-RP,17535,r9 raphe pallidus cell population,69C3AC,Rest Hindbrain,EA37FF,2
r9-IO,17536,r9 part of the inferior olive,69C3AC,Rest Hindbrain,EA37FF,2
r9F,17537,r9 floor plate,529886,Rest Hindbrain,EA37FF,2
r9Fv,112892407,ventricular zone of r9F,437E6F,Rest Hindbrain,EA37FF,2
r9Fm,112892409,mantle zone of r9F,5EAE99,Rest Hindbrain,EA37FF,2
r9Fp,112892411,periventricular stratum of r9F,5EAE99,Rest Hindbrain,EA37FF,2
r9Fi,112892413,intermediate stratum of r9F,5EAE99,Rest Hindbrain,EA37FF,2
r9Fs,112892415,superficial stratum of r9F,5EAE99,Rest Hindbrain,EA37FF,2
r10,17538,rhombomere 10,91D9BF,Rest Hindbrain,EA37FF,2
r10R,17539,r10 roof plate,ABE2CE,Rest Hindbrain,EA37FF,2
r10A,17540,r10 alar plate,91D9BF,Rest Hindbrain,EA37FF,2
r10Av,111220890,ventricular zone of r10A,91D9BF,Rest Hindbrain,EA37FF,2
r10Am,111220892,mantle zone of r10A,A6E0CB,Rest Hindbrain,EA37FF,2
r10Ve,17541,r10 part of the vestibular column,91D9BF,Rest Hindbrain,EA37FF,2
r10Vev,17542,ventricular zone of r10Ve,91D9BF,Rest Hindbrain,EA37FF,2
r10Vem,17543,mantle zone of r10Ve,A6E0CB,Rest Hindbrain,EA37FF,2
r10Vep,111220894,periventricular stratum of r10Ve,A6E0CB,Rest Hindbrain,EA37FF,2
r10MVePC,17545,r10 part of parvocellular medial vestibular nucleus,A6E0CB,Rest Hindbrain,EA37FF,2
r10Vei,111220896,intermediate stratum of r10Ve,A6E0CB,Rest Hindbrain,EA37FF,2
r10SpVe,17544,r10 part of spinal vestibular nucleus,A6E0CB,Rest Hindbrain,EA37FF,2
r10Ves,111220898,superficial stratum of r10Ve,A6E0CB,Rest Hindbrain,EA37FF,2
r10ECu,17546,r10 part of external cuneate nucleus,A6E0CB,Rest Hindbrain,EA37FF,2
r10Tr,17547,r10 part of the trigeminal column,91D9BF,Rest Hindbrain,EA37FF,2
r10Trv,17548,ventricular zone of r10Tr,91D9BF,Rest Hindbrain,EA37FF,2
r10Trm,17549,mantle zone of r10Tr,A6E0CB,Rest Hindbrain,EA37FF,2
r10Trp,111220900,periventricular stratum of r10Tr,A6E0CB,Rest Hindbrain,EA37FF,2
r10Sol,17552,r10 part of solitary complex,A6E0CB,Rest Hindbrain,EA37FF,2
r10Tri,111220902,intermediate stratum of r10Tr,A6E0CB,Rest Hindbrain,EA37FF,2
r10-5Tr,17551,r10 part of trigeminal transition zone,A6E0CB,Rest Hindbrain,EA37FF,2
r10DPCRt,17555,r10 part of dorsal parvicellular reticular formation,A6E0CB,Rest Hindbrain,EA37FF,2
r10Trs,111220904,superficial stratum of r10Tr,A6E0CB,Rest Hindbrain,EA37FF,2
r10Sp5C,17550,r10 part of spinal trigeminal nucleus- caudal part,A6E0CB,Rest Hindbrain,EA37FF,2
r10Gr,17553,r10 part of nucleus gracilis,A6E0CB,Rest Hindbrain,EA37FF,2
r10Cu,17554,r10 part of nucleus cuneatus,A6E0CB,Rest Hindbrain,EA37FF,2
r10Lim,17556,liminal part of the r10 alar plate,91D9BF,Rest Hindbrain,EA37FF,2
r10Limv,17557,ventricular zone of r10Lim,91D9BF,Rest Hindbrain,EA37FF,2
r10Limm,17558,mantle zone of r10Lim,A6E0CB,Rest Hindbrain,EA37FF,2
r10Limp,111220906,periventricular stratum of r10Lim,A6E0CB,Rest Hindbrain,EA37FF,2
r10-10M,17560,r10 part of vagal motor nucleus,A6E0CB,Rest Hindbrain,EA37FF,2
r10LimCG,112892417,r10 liminar central gray,A6E0CB,Rest Hindbrain,EA37FF,2
r10Limi,111220908,intermediate stratum of r10Lim,A6E0CB,Rest Hindbrain,EA37FF,2
r10VPCRt,17559,r10 part of ventral parvicellular reticular formation,A6E0CB,Rest Hindbrain,EA37FF,2
r10Lims,111220910,superficial stratum of r10Lim,A6E0CB,Rest Hindbrain,EA37FF,2
r10Amb,17561,r10 portion of ambiguous motor nucleus,A6E0CB,Rest Hindbrain,EA37FF,2
r10B,17562,r10 basal plate,74AE99,Rest Hindbrain,EA37FF,2
r10Bv,111220912,ventricular zone of r10B,74AE99,Rest Hindbrain,EA37FF,2
r10Bm,111220914,mantle zone of r10B,83C3AC,Rest Hindbrain,EA37FF,2
r10BL,17563,lateral part of r10B,74AE99,Rest Hindbrain,EA37FF,2
r10BLv,17564,ventricular zone of r10BL,74AE99,Rest Hindbrain,EA37FF,2
r10BLm,17565,mantle zone of r10BL,83C3AC,Rest Hindbrain,EA37FF,2
r10BLp,17566,periventricular stratum of r10BL,83C3AC,Rest Hindbrain,EA37FF,2
r10BLIZ,17567,r10 part of the basolateral intermediate zone,83C3AC,Rest Hindbrain,EA37FF,2
r10BLi,17568,intermediate stratum of r10BL,83C3AC,Rest Hindbrain,EA37FF,2
r10BLRt,17569,r10 part of basolateral reticular formation,83C3AC,Rest Hindbrain,EA37FF,2
r10BLs,17570,superficial stratum of r10BL,83C3AC,Rest Hindbrain,EA37FF,2
r10BI,17571,intermediate part of r10B,74AE99,Rest Hindbrain,EA37FF,2
r10BIv,17572,ventricular zone of r10BI,74AE99,Rest Hindbrain,EA37FF,2
r10BIm,17573,mantle zone of r10BI,83C3AC,Rest Hindbrain,EA37FF,2
r10BIp,17574,periventricular stratum of r10BI,83C3AC,Rest Hindbrain,EA37FF,2
r10IS,17575,r10 part of nucleus intercalatus Staderini,83C3AC,Rest Hindbrain,EA37FF,2
r10BIIZ,17576,r10 part of basointermediate intermediate zone,83C3AC,Rest Hindbrain,EA37FF,2
r10BIi,17577,intermediate stratum of r10BI,83C3AC,Rest Hindbrain,EA37FF,2
r10-11M,17578,r10 part of accessory motor nucleus,83C3AC,Rest Hindbrain,EA37FF,2
r10BIRt,17579,r10 part of basointermediate reticular formation,83C3AC,Rest Hindbrain,EA37FF,2
r10BIs,17580,superficial stratum of r10BI,83C3AC,Rest Hindbrain,EA37FF,2
r10BM,17581,medial part of r10B,74AE99,Rest Hindbrain,EA37FF,2
r10BMv,17582,ventricular zone of r10BM,74AE99,Rest Hindbrain,EA37FF,2
r10BMm,17583,mantle zone of r10BM,83C3AC,Rest Hindbrain,EA37FF,2
r10BMp,17584,periventricular stratum of r10BM,83C3AC,Rest Hindbrain,EA37FF,2
r10-12M,17585,r10 portion of the hypoglossal motor nucleus,83C3AC,Rest Hindbrain,EA37FF,2
r10Ro,17586,r10 part of nucleus of Roller,83C3AC,Rest Hindbrain,EA37FF,2
r10BMi,17587,intermediate stratum of r10BM,83C3AC,Rest Hindbrain,EA37FF,2
r10-RO,17588,r10 raphe obscurus cell population,83C3AC,Rest Hindbrain,EA37FF,2
r10BMRt,17589,r10 part of basomedial reticular formation,83C3AC,Rest Hindbrain,EA37FF,2
r10Gi,17590,r10 part of gigantocellular reticular area,83C3AC,Rest Hindbrain,EA37FF,2
r10GiV,17591,r10 part of ventral gigangocellular reticular area,83C3AC,Rest Hindbrain,EA37FF,2
r10BMs,17592,superficial stratum of r10BM,83C3AC,Rest Hindbrain,EA37FF,2
r10-RP,17593,r10 raphe pallidus cell population,83C3AC,Rest Hindbrain,EA37FF,2
r10-IO,17594,r10 part of the inferior olive,83C3AC,Rest Hindbrain,EA37FF,2
r10F,17595,r10 floor plate,669886,Rest Hindbrain,EA37FF,2
r10Fv,112892419,ventricular zone of r10F,578474,Rest Hindbrain,EA37FF,2
r10Fm,112892421,mantle zone of r10F,74AE99,Rest Hindbrain,EA37FF,2
r10Fp,112892423,periventricular stratum of r10F,74AE99,Rest Hindbrain,EA37FF,2
r10Fi,112892425,intermediate stratum of r10F,74AE99,Rest Hindbrain,EA37FF,2
r10Fs,112892427,superficial stratum of r10F,74AE99,Rest Hindbrain,EA37FF,2
r11,17596,rhombomere 11,BFD9BF,Rest Hindbrain,EA37FF,2
r11R,17597,r11 roof plate,CFE9DA,Rest Hindbrain,EA37FF,2
r11A,17598,r11 alar plate,BFD9BF,Rest Hindbrain,EA37FF,2
r11Av,111220916,ventricular zone of r11A,BFD9BF,Rest Hindbrain,EA37FF,2
r11Am,111220918,mantle zone of r11A,BBE0CB,Rest Hindbrain,EA37FF,2
r11Ve,17599,r11 part of the vestibular column,BFD9BF,Rest Hindbrain,EA37FF,2
r11Vev,17600,ventricular zone of r11Ve,BFD9BF,Rest Hindbrain,EA37FF,2
r11Vem,17601,mantle zone of r11Ve,BBE0CB,Rest Hindbrain,EA37FF,2
r11Vep,111220920,periventricular stratum of r11Ve,BBE0CB,Rest Hindbrain,EA37FF,2
r11Vei,111220922,intermediate stratum of r11Ve,BBE0CB,Rest Hindbrain,EA37FF,2
r11Ves,111220924,superficial stratum of r11Ve,BBE0CB,Rest Hindbrain,EA37FF,2
r11ECu,17602,r11 part of the external uneate nucleus,BBE0CB,Rest Hindbrain,EA37FF,2
r11Tr,17603,r11 part of the trigeminal column,BFD9BF,Rest Hindbrain,EA37FF,2
r11Trv,17604,ventricular zone of r11Tr,BBE0CB,Rest Hindbrain,EA37FF,2
r11Trm,17605,mantle zone of r11Tr,BBE0CB,Rest Hindbrain,EA37FF,2
r11Trp,111220926,periventricular stratum of r11Tr,BBE0CB,Rest Hindbrain,EA37FF,2
r11Sol,17608,r11 part of solitary complex,BBE0CB,Rest Hindbrain,EA37FF,2
r11Tri,111220928,intermediate stratum of r11Tr,BBE0CB,Rest Hindbrain,EA37FF,2
r11-5Tr,17607,r11 part of trigeminal transition zone,BBE0CB,Rest Hindbrain,EA37FF,2
r11DPCRt,17611,r11 part of dorsal parvicellular reticular formation,BBE0CB,Rest Hindbrain,EA37FF,2
r11Trs,111220930,superficial stratum of r11Tr,BBE0CB,Rest Hindbrain,EA37FF,2
r11Sp5C,17606,r11 part of spinal trigeminal nucleus- caudal part,BBE0CB,Rest Hindbrain,EA37FF,2
r11Gr,17609,r11 part of nucleus gracilis,BBE0CB,Rest Hindbrain,EA37FF,2
r11Cu,17610,r11 part of nucleus cuneatus,BBE0CB,Rest Hindbrain,EA37FF,2
r11Lim,17612,liminal part of the r11 alar plate,BFD9BF,Rest Hindbrain,EA37FF,2
r11Limv,17613,ventricular zone of r11Lim,BFD9BF,Rest Hindbrain,EA37FF,2
r11Limm,17614,mantle zone of r11Lim,BBE0CB,Rest Hindbrain,EA37FF,2
r11Limp,111220932,periventricular stratum of r11Lim,BBE0CB,Rest Hindbrain,EA37FF,2
r11LimCG,17615,r11 liminal central gray,BBE0CB,Rest Hindbrain,EA37FF,2
r11-10M,17617,r11 part of vagal motor nucleus (postmigratory),BBE0CB,Rest Hindbrain,EA37FF,2
r11Limi,111220934,intermediate stratum of r11Lim,BBE0CB,Rest Hindbrain,EA37FF,2
r11VPCRt,17616,r11 part of ventral parvicellular reticular formation,BBE0CB,Rest Hindbrain,EA37FF,2
r11-11M,17618,r11 part of the accessory motor nucleus (postmigratory),BBE0CB,Rest Hindbrain,EA37FF,2
r11Lims,111220936,superficial stratum of r11Lim,BBE0CB,Rest Hindbrain,EA37FF,2
r11Amb,17619,r11 part of nucleus ambiguous,BBE0CB,Rest Hindbrain,EA37FF,2
r11B,17620,r11 basal plate,89AE99,Rest Hindbrain,EA37FF,2
r11Bv,111220938,ventricular zone of r11B,89AE99,Rest Hindbrain,EA37FF,2
r11Bm,111220940,mantle zone of r11B,9AC3AC,Rest Hindbrain,EA37FF,2
r11BL,17621,lateral part of r11B,89AE99,Rest Hindbrain,EA37FF,2
r11BLv,17622,ventricular zone of r11BL,89AE99,Rest Hindbrain,EA37FF,2
r11BLm,17623,mantle zone of r11BL,9AC3AC,Rest Hindbrain,EA37FF,2
r11BLp,17624,periventricular stratum of r11BL,9AC3AC,Rest Hindbrain,EA37FF,2
r11BLIZ,17625,r11 part of the basolateral intermediate zone,9AC3AC,Rest Hindbrain,EA37FF,2
r11BLi,17626,intermediate stratum of r11BL,9AC3AC,Rest Hindbrain,EA37FF,2
r11BLRt,17627,r11 part of basolateral reticular formation,9AC3AC,Rest Hindbrain,EA37FF,2
r11BLs,17628,superficial stratum of r11BL,9AC3AC,Rest Hindbrain,EA37FF,2
r11BI,17629,intermediate part of r11B,89AE99,Rest Hindbrain,EA37FF,2
r11BIv,17630,ventricular zone of r11BI,89AE99,Rest Hindbrain,EA37FF,2
r11BIm,17631,mantle zone of r11BI,9AC3AC,Rest Hindbrain,EA37FF,2
r11BIp,17632,periventricular stratum of r11BI,9AC3AC,Rest Hindbrain,EA37FF,2
r11BIIZ,17633,r11 part of basointermediate intermediate zone,9AC3AC,Rest Hindbrain,EA37FF,2
r11-11,17634,r11 part of accessory motor nucleus,9AC3AC,Rest Hindbrain,EA37FF,2
r11BIi,17635,intermediate stratum of r11BI,9AC3AC,Rest Hindbrain,EA37FF,2
r11BIRt,17636,r11 part of basointermediate reticular formation,9AC3AC,Rest Hindbrain,EA37FF,2
r11BIs,17637,superficial stratum of r11BI,9AC3AC,Rest Hindbrain,EA37FF,2
r11BM,17638,medial part of r11B,89AE99,Rest Hindbrain,EA37FF,2
r11BMv,17639,ventricular zone of r11BM,89AE99,Rest Hindbrain,EA37FF,2
r11BMm,17640,mantle zone of r11BM,9AC3AC,Rest Hindbrain,EA37FF,2
r11BMp,17641,periventricular stratum of r11BM,9AC3AC,Rest Hindbrain,EA37FF,2
r11Ro,114403731,r11 part of nucleus of Roller,9AC3AC,Rest Hindbrain,EA37FF,2
r11-12M,17642,r11 part of hypoglossal motor nucleus,9AC3AC,Rest Hindbrain,EA37FF,2
r11BMi,17643,intermediate stratum of r11BM,9AC3AC,Rest Hindbrain,EA37FF,2
r11-RO,17644,r11 part of nucleus raphe obscurus,9AC3AC,Rest Hindbrain,EA37FF,2
r11BMRt,17645,r11 part of basomedial reticular formation,9AC3AC,Rest Hindbrain,EA37FF,2
r11Gi,17646,r11 part of gigantocellular reticular area,9AC3AC,Rest Hindbrain,EA37FF,2
r11GiV,17647,r11 part of ventral gigangocellular reticular area,9AC3AC,Rest Hindbrain,EA37FF,2
r11BMs,17648,superficial stratum of r11BM,9AC3AC,Rest Hindbrain,EA37FF,2
r11-RP,17649,r11 part of nucleus raphe pallidus,9AC3AC,Rest Hindbrain,EA37FF,2
r11-IO,127201621,r11 part of the inferior olive,9AC3AC,Rest Hindbrain,EA37FF,2
r11F,17650,r11 floor plate,789886,Rest Hindbrain,EA37FF,2
r11Fv,112892429,ventricular zone of r11F,6C8A79,Rest Hindbrain,EA37FF,2
r11Fm,112892431,mantle zone of r11F,89AE99,Rest Hindbrain,EA37FF,2
r11Fp,112892433,periventricular stratum of r11F,89AE99,Rest Hindbrain,EA37FF,2
r11Fi,112892435,intermediate stratum of r11F,89AE99,Rest Hindbrain,EA37FF,2
r11Fs,112892437,superficial stratum of r11F,89AE99,Rest Hindbrain,EA37FF,2
 ,, , , , ,
D,16308,diencephalon,FFF9C7,Rest Forebrain,C86A39,3
p3,16309,prosomere 3,FFF9C7,Rest Forebrain,C86A39,3
PTh,16310,prethalamus,FFF9C7,Rest Forebrain,C86A39,3
p3R,16311,roof plate of p3,FFF9C7,Rest Forebrain,C86A39,3
p3Ch,16312,choroidal tissue of p3,FFF7BD,Rest Forebrain,C86A39,3
p3Chv,111220576,ventricular zone of p3Ch,FFF7BD,Rest Forebrain,C86A39,3
p3Chm,111220578,mantle zone of p3Ch,FFF9C7,Rest Forebrain,C86A39,3
p3A,16313,alar plate of p3 (alar prethalamus),FFF4A4,Rest Forebrain,C86A39,3
p3AD,16314,dorsal part of alar p3,FFF4A4,Rest Forebrain,C86A39,3
PThE,16315,prethalamic eminence,FFF4A4,Rest Forebrain,C86A39,3
PThEv,16316,ventricular zone of PThE,FFF4A4,Rest Forebrain,C86A39,3
PThEm,16317,mantle zone of PThE,FFF7BD,Rest Forebrain,C86A39,3
PThEp,16318,periventricular stratum of PThE,FFF7BD,Rest Forebrain,C86A39,3
PThEi,16319,intermediate stratum of PThE,FFF7BD,Rest Forebrain,C86A39,3
SM,16320,nucleus of the stria medullaris (prethalamic),FFF7BD,Rest Forebrain,C86A39,3
PThEs,16321,superficial stratum of PThE,FFF7BD,Rest Forebrain,C86A39,3
p3AL,16322,lateral part of alar p3,FFF4A4,Rest Forebrain,C86A39,3
RtC,16323,reticular complex,FFF4A4,Rest Forebrain,C86A39,3
RtCv,16324,ventricular zone of RtC,FFF4A4,Rest Forebrain,C86A39,3
RtCm,16325,mantle zone of RtC,FFF7BD,Rest Forebrain,C86A39,3
RtCp,16326,periventricular stratum of RtC,FFF7BD,Rest Forebrain,C86A39,3
RHy,16327,retrohypothalamic nucleus,FFF7BD,Rest Forebrain,C86A39,3
RtCi,16328,intermediate stratum of RtC,FFF7BD,Rest Forebrain,C86A39,3
Rt,16329,reticular nucleus,FFF7BD,Rest Forebrain,C86A39,3
RtCs,16330,superficial stratum of RtC,FFF7BD,Rest Forebrain,C86A39,3
SubG,16331,subgeniculate nucleus,FFF7BD,Rest Forebrain,C86A39,3
p3APV,16332,posteroventral part of alar p3,FFF4A4,Rest Forebrain,C86A39,3
p3APVv,111220580,ventricular zone of p3APV,FFF4A4,Rest Forebrain,C86A39,3
p3APVm,111220582,mantle zone of p3APV,FFF7BD,Rest Forebrain,C86A39,3
p3ZL,16333,prethalamic (p3) zona limitans domain,FFF4A4,Rest Forebrain,C86A39,3
p3ZLv,16334,ventricular zone of p3ZL,FFF4A4,Rest Forebrain,C86A39,3
p3ZLm,16335,mantle zone of p3ZL,FFF7BD,Rest Forebrain,C86A39,3
p3ZLp,16336,periventricular stratum of p3ZL,FFF7BD,Rest Forebrain,C86A39,3
p3ZLS,16337,shell of p3ZL,FFF7BD,Rest Forebrain,C86A39,3
p3ZLi,16338,intermediate stratum of p3ZL,FFF7BD,Rest Forebrain,C86A39,3
IntC,16339,intercalate nucleus,FFF7BD,Rest Forebrain,C86A39,3
p3ZLs,16340,superficial stratum of p3ZL,FFF7BD,Rest Forebrain,C86A39,3
PreG,16341,pregeniculate nucleus,FFF7BD,Rest Forebrain,C86A39,3
PP,16342,peripeduncular nucleus,FFF7BD,Rest Forebrain,C86A39,3
ZIC,16343,zona incerta complex,FFF4A4,Rest Forebrain,C86A39,3
ZICv,16344,ventricular zone of ZIC,FFF4A4,Rest Forebrain,C86A39,3
ZICm,16345,mantle zone of ZIC,FFF7BD,Rest Forebrain,C86A39,3
ZICp,16346,periventricular stratum of ZIC,FFF7BD,Rest Forebrain,C86A39,3
ZIM,16347,magnocellular (periventricular) zona incerta,FFF7BD,Rest Forebrain,C86A39,3
ZICi,16348,intermediate stratum of ZIC,FFF7BD,Rest Forebrain,C86A39,3
RZI,16349,rostral zona incerta,FFF7BD,Rest Forebrain,C86A39,3
ZICs,16350,superficial stratum of ZIC,FFF7BD,Rest Forebrain,C86A39,3
p3Bv,16354,ventricular zone of p3B,CCC383,Rest Forebrain,C86A39,3
p3Fv,16369,ventricular zone of p3F,8D885B,Rest Forebrain,C86A39,3
p2,16375,prosomere 2,FFF189,Rest Forebrain,C86A39,3
Th,16376,thalamus,FFF189,Thalamus,FFF189,3
p2R,16377,roof plate of p2 (epithalamic roofplate),FEF3A8,Thalamus,FFF189,3
p2Ch,16378,choroidal tissue of p2,FFF189,Thalamus,FFF189,3
p2Chv,111220584,ventricular zone of p2Ch,FFF189,Thalamus,FFF189,3
p2Chm,111220586,mantle zone of p2Ch,FEF3A8,Thalamus,FFF189,3
BHbC,16379,bed of the habenular commissure,FEF3A8,Thalamus,FFF189,3
Pi,16380,pineal gland (epiphysis) and stalk,FEF3A8,Thalamus,FFF189,3
RHb,16381,retrohabenular thalamic area,FEF3A8,Thalamus,FFF189,3
p2A,16382,alar plate of p2 (alar thalamus),FFED64,Thalamus,FFF189,3
p2AD,16383,dorsal part of alar p2,FFED64,Thalamus,FFF189,3
Hb,16384,habenula (old epithalamus),FFED64,Thalamus,FFF189,3
Hbv,16385,ventricular zone of Hb,FFED64,Thalamus,FFF189,3
Hbm,16386,mantle zone of Hb,FFF189,Thalamus,FFF189,3
Hbp,16387,periventricular stratum of Hb,FFF189,Thalamus,FFF189,3
MHb,16388,medial habenular nucleus,FFF189,Thalamus,FFF189,3
MSHb,16389,medial subhabenular nucleus,FFF189,Thalamus,FFF189,3
Hbi,16390,intermediate stratum of Hb,FFF189,Thalamus,FFF189,3
LHbM,16391,medial part of the lateral habenular nucleus,FFF189,Thalamus,FFF189,3
LSHb,16392,lateral subhabenular nucleus,FFF189,Thalamus,FFF189,3
Hbs,16393,superficial stratum of Hb,FFF189,Thalamus,FFF189,3
LHbL,16394,lateral part of the lateral habenular nucleus,FFF189,Thalamus,FFF189,3
p2AL,16395,lateral part of alar p2,FFED64,Thalamus,FFF189,3
p2ALv,111220588,ventricular zone of p2AL,FFED64,Thalamus,FFF189,3
p2ALm,111220590,mantle zone of p2AL,FFF189,Thalamus,FFF189,3
DTTh,16396,dorsal tier of thalamus,FFED64,Thalamus,FFF189,3
DTThv,16397,ventricular zone of DTTh,FFED64,Thalamus,FFF189,3
DTThm,16398,mantle zone of DTTh,FFF189,Thalamus,FFF189,3
DTThp,16399,periventricular stratum of DTTh,FFF189,Thalamus,FFF189,3
PVA,16400,anterior paraventricular nucleus of thalamus,FFF189,Thalamus,FFF189,3
IMD,16401,intermediodorsal nucleus,FFF189,Thalamus,FFF189,3
CM,16402,centromedian nucleus,FFF189,Thalamus,FFF189,3
IAM,16403,interanteromedial nucleus,FFF189,Thalamus,FFF189,3
IAD,16404,interanterodorsal nucleus,FFF189,Thalamus,FFF189,3
Rh,16405,rhomboid nucleus,FFF189,Thalamus,FFF189,3
Re,16406,reuniens nucleus- main part,FFF189,Thalamus,FFF189,3
RRe,16407,retroreuniens nucleus,FFF189,Thalamus,FFF189,3
VRe,16408,ventral reuniens nucleus,FFF189,Thalamus,FFF189,3
DTThi,16409,intermediate stratum of DTTh,FFF189,Thalamus,FFF189,3
PT,16410,paratenial nucleus,FFF189,Thalamus,FFF189,3
MD,16411,mediodorsal nucleus,FFF189,Thalamus,FFF189,3
MDM,16412,medial (magnocellular) part of MD,FFF189,Thalamus,FFF189,3
MDL,16413,lateral (parvicellular) part of MD,FFF189,Thalamus,FFF189,3
MDC,16414,central part of MD,FFF189,Thalamus,FFF189,3
IL,16415,intralaminar nuclei,FFF189,Thalamus,FFF189,3
PC,16416,paracentral nucleus,FFF189,Thalamus,FFF189,3
OPC,16417,oval paracentral nucleus,FFF189,Thalamus,FFF189,3
CL,16418,central lateral nucleus,FFF189,Thalamus,FFF189,3
A,16419,anterior nuclei,FFF189,Thalamus,FFF189,3
AD,16420,anterodorsal nucleus,FFF189,Thalamus,FFF189,3
AV,16421,anteroventral nucleus,FFF189,Thalamus,FFF189,3
AM,16422,anteromedial nucleus,FFF189,Thalamus,FFF189,3
V,16423,ventral nuclei,FFF189,Thalamus,FFF189,3
VM,16424,ventromedial nucleus,FFF189,Thalamus,FFF189,3
VMP,16425,posterior ventromedial nucleus,FFF189,Thalamus,FFF189,3
SubM,16426,submedius thalamic nucleus,FFF189,Thalamus,FFF189,3
VA,16427,ventral anterior nucleus,FFF189,Thalamus,FFF189,3
VL,16428,ventral lateral nucleus,FFF189,Thalamus,FFF189,3
VPM,16429,ventral posteromedial nucleus,FFF189,Thalamus,FFF189,3
VPL,16430,ventral posterolateral nucleus,FFF189,Thalamus,FFF189,3
VPPC,16431,ventral posterior parvicellular nucleus,FFF189,Thalamus,FFF189,3
Po,16432,posterior (ventral) nucleus,FFF189,Thalamus,FFF189,3
DTThs,16433,superficial stratum of DTTh,FFF189,Thalamus,FFF189,3
LD,16434,laterodorsal nucleus,FFF189,Thalamus,FFF189,3
LP,16435,lateral posterior nucleus,FFF189,Thalamus,FFF189,3
DLG,16436,dorsal lateral geniculate nucleus,FFF189,Thalamus,FFF189,3
ITTh,16437,intermediate tier of thalamus,FFED64,Thalamus,FFF189,3
ITThv,16438,ventricular zone of ITTh,FFED64,Thalamus,FFF189,3
ITThm,16439,mantle zone of ITTh,FFF189,Thalamus,FFF189,3
ITThp,16440,periventricular stratum of ITTh,FFF189,Thalamus,FFF189,3
PVP,16441,posterior paraventricular nucleus,FFF189,Thalamus,FFF189,3
PF,16442,parafascicular nucleus,FFF189,Thalamus,FFF189,3
ITThi,16443,intermediate stratum of ITTh,FFF189,Thalamus,FFF189,3
Lth,16444,lithoid nucleus,FFF189,Thalamus,FFF189,3
Sc,16445,scaphoid nucleus,FFF189,Thalamus,FFF189,3
